Customer ID,Recency,Frequency,Monetary,Cluster,Churn
EP-13915,12,17,5478.0608,1,0
ER-13855,421,3,1245.788,2,1
ES-14020,40,5,3510.4579999999996,0,0
ES-14080,28,9,4657.924,0,0
FA-14230,97,7,2984.054,0,1
FC-14245,70,7,3418.742,0,0
FC-14335,184,7,3889.366,0,1
FG-14260,34,7,1383.144,2,0
FH-14275,37,10,4256.272,0,0
FH-14350,212,4,2271.284,0,1
FH-14365,5,8,6987.196,1,0
FM-14215,7,10,2456.638,0,0
FM-14290,36,9,3736.198,0,0
FM-14380,145,9,2523.266,0,1
FO-14305,38,10,2678.438,0,0
FP-14320,23,8,4046.746,0,0
FW-14395,362,3,79.75,2,1
GA-14515,149,8,3919.7760000000003,0,1
GA-14725,5,11,1398.382,2,0
GB-14530,62,11,1568.44,2,0
GB-14575,13,5,4716.288,0,0
GD-14590,5,4,1888.07,2,0
GG-14650,43,9,2224.0,0,0
GH-14410,75,9,2819.4669999999996,0,0
GH-14425,50,4,4172.8460000000005,0,0
GH-14485,387,2,1361.2440000000001,2,1
GH-14665,2,2,146.94080000000002,2,0
GK-14620,112,9,6497.27,1,1
GM-14440,83,7,3582.8199999999997,0,0
GM-14455,16,6,3078.624,0,0
GM-14500,106,10,1255.682,2,1
GM-14680,152,6,3163.628,0,1
GM-14695,117,3,6049.966,1,1
GP-14740,765,2,236.53,2,1
GR-14560,1135,2,1284.38,2,1
GT-14635,56,3,9351.212,1,0
GT-14710,36,11,11820.119999999999,3,0
GT-14755,34,4,226.436,2,0
GW-14605,28,7,2189.019,0,0
GZ-14470,7,9,4355.150000000001,0,0
GZ-14545,157,4,2454.6220000000003,0,1
HA-14905,69,7,2163.3,0,0
HA-14920,20,8,2584.158,0,0
HD-14785,769,3,251.36,2,1
HE-14800,12,4,883.5319999999999,2,0
HF-14995,21,7,2533.1639999999998,0,0
HG-14845,54,5,785.628,2,0
HG-14965,23,12,3247.642,0,0
HG-15025,6,7,3690.284,0,0
HH-15010,72,2,218.668,2,0
HJ-14875,126,5,358.1,2,1
HK-14890,151,8,4877.784,1,1
HL-15040,43,6,12873.297999999999,3,0
HM-14860,2,10,8236.7648,1,0
HM-14980,247,4,736.276,2,1
HP-14815,30,7,1990.314,2,0
HR-14770,13,5,1299.288,2,0
HR-14830,159,7,5248.787,1,1
HW-14935,117,8,9300.254,1,1
HZ-14950,35,5,886.52,2,0
IG-15085,71,4,744.574,2,0
IL-15100,142,7,5040.736,1,1
IM-15055,409,3,2872.63,0,1
IM-15070,390,7,4930.474,1,1
JA-15970,92,8,6491.026,1,1
JB-15400,7,10,1791.605,2,0
JB-15925,737,3,900.552,2,1
JB-16000,43,7,644.1188,2,0
JB-16045,7,5,2518.115,0,0
JC-15340,114,4,71.263,2,1
JC-15385,175,1,1058.108,2,1
JC-15775,158,9,2772.055,0,1
JC-16105,57,5,858.576,2,0
JD-15790,117,5,2152.352,0,1
JD-15895,394,11,7610.8640000000005,1,1
JD-16015,112,6,385.43,2,1
JD-16060,300,3,695.442,2,1
JD-16150,41,8,8828.0305,1,0
JE-15475,193,6,1388.682,2,1
JE-15610,48,7,7754.976,1,0
JE-15715,46,10,8697.842999999999,1,0
JE-15745,51,13,6760.8150000000005,1,0
JE-16165,20,3,2697.248,0,0
JF-15190,65,7,2279.5860000000002,0,0
JF-15295,225,5,955.124,2,1
JF-15355,105,6,1911.844,2,1
JF-15415,2,6,2371.448,0,0
JF-15490,121,11,1082.918,2,1
JF-15565,54,8,4198.332,0,0
JG-15115,758,3,2358.676,0,1
JG-15160,1,11,6366.392,1,0
JG-15310,2,6,2240.58,0,0
JG-15805,223,6,1507.018,2,1
JH-15430,5,4,309.281,2,0
JH-15820,174,6,528.91,2,1
JH-15910,41,7,959.477,2,0
JH-15985,29,6,7954.9980000000005,1,0
JH-16180,404,4,2256.3940000000002,0,1
JJ-15445,483,5,709.178,2,1
JJ-15760,753,2,195.0,2,1
JK-15205,61,5,4427.142,0,0
JK-15325,287,3,383.812,2,1
JK-15370,44,8,2709.632,0,0
JK-15625,61,7,3760.028,0,0
JK-15640,180,9,4760.434,0,1
JK-15730,84,10,4867.2,1,0
JK-16090,28,3,3747.668,0,0
JK-16120,117,10,2932.484,0,1
JL-15130,8,6,1214.956,2,0
JL-15175,6,5,1571.523,2,0
JL-15235,119,5,2203.7,0,1
JL-15505,49,6,3173.874,0,0
JL-15835,21,11,9799.923,1,0
JL-15850,614,6,2725.256,0,1
JM-15250,37,6,3159.1220000000003,0,0
JM-15265,37,5,1804.146,2,0
JM-15535,102,7,1733.443,2,1
JM-15580,0,5,303.948,2,0
JM-15655,8,5,864.947,2,0
JM-15865,109,7,7625.076000000001,1,1
JM-16195,57,10,2833.9260000000004,0,0
JO-15145,57,9,3254.949,0,0
JO-15280,92,6,1934.272,2,1
JO-15550,215,5,1090.838,2,1
JP-15460,37,7,1669.135,2,0
JP-15520,8,7,3635.594,0,0
JP-16135,102,9,1707.71,2,1
JR-15670,593,2,1156.658,2,1
JR-15700,68,1,863.88,2,0
JR-16210,33,5,2201.686,0,0
JS-15595,119,4,1417.654,2,1
JS-15685,42,4,1131.0639999999999,2,0
JS-15880,534,5,3868.02,0,1
JS-15940,463,5,469.169,2,1
JS-16030,28,6,2516.494,0,0
JW-15220,42,6,7721.714,1,0
JW-15955,5,7,1244.086,2,0
JW-16075,461,4,1428.731,2,1
KA-16525,36,7,1519.506,2,0
KB-16240,4,7,3152.6150000000002,0,0
KB-16315,296,9,1569.464,2,1
KB-16405,117,3,908.821,2,1
KB-16585,230,12,2744.742,0,1
KB-16600,1,7,983.922,2,0
KC-16255,407,6,2120.954,0,1
KC-16540,97,4,3908.262,0,1
KC-16675,57,4,1146.05,2,0
KD-16270,484,5,8282.358,1,1
KD-16345,41,6,1888.964,2,0
KD-16495,112,12,8181.256,1,1
KD-16615,289,5,2243.5099999999998,0,1
KE-16420,26,8,1686.7312,2,0
KF-16285,97,7,10604.266,3,1
KH-16330,40,8,3312.864,0,0
KH-16360,1,6,3100.612,0,0
KH-16510,22,7,5952.859,1,0
KH-16630,58,9,3918.9660000000003,0,0
KH-16690,2,7,5990.799,1,0
KL-16555,16,8,5016.488,1,0
KL-16645,47,12,14175.229000000001,3,0
KM-16225,14,6,2260.958,0,0
KM-16375,56,8,5620.186,1,0
KM-16660,15,5,453.538,2,0
KM-16720,28,8,4909.472,1,0
KN-16390,19,9,2617.272,0,0
KN-16450,52,5,2171.962,0,0
KN-16705,98,8,2280.58,0,1
KS-16300,295,3,88.472,2,1
KT-16465,391,7,3057.1,0,1
KT-16480,100,10,4642.088400000001,0,1
KW-16435,96,5,4416.5199999999995,0,1
KW-16570,771,4,449.096,2,1
LA-16780,154,11,8673.222,1,1
LB-16735,48,3,50.188,2,0
LB-16795,152,8,4985.676,1,1
LC-16870,27,8,2580.7039999999997,0,0
LC-16885,16,12,7663.126,1,0
LC-16930,41,8,4492.946,0,0
LC-16960,436,4,3246.626,0,1
LC-17050,54,5,2095.064,2,0
LC-17140,13,9,2633.582,0,0
LD-16855,552,1,5.304,2,1
LD-17005,414,4,1961.934,2,1
LE-16810,21,6,1469.45,2,0
LF-17185,22,7,3930.5089999999996,0,0
LH-16750,151,3,287.426,2,1
LH-16900,21,9,2295.332,0,0
LH-17020,239,4,318.239,2,1
LH-17155,385,9,1739.689,2,1
LL-16840,249,6,2741.2039999999997,0,1
LM-17065,391,5,1346.774,2,1
LO-17170,2,5,644.35,2,0
LP-17080,40,4,756.606,2,0
LP-17095,9,7,3653.399,0,0
LR-16915,26,6,5142.892,1,0
LR-17035,132,5,1879.306,2,1
LS-16945,178,6,2845.27,0,1
LS-16975,20,9,2988.674,0,0
LS-17200,96,6,1010.2560000000001,2,1
LS-17230,777,3,368.88000000000005,2,1
LS-17245,34,6,1008.1360000000001,2,0
LT-16765,26,3,329.876,2,0
LT-17110,34,8,2936.252,0,0
LW-16825,88,5,2238.061,0,0
LW-16990,33,6,3230.308,0,0
LW-17125,205,3,1259.04,2,1
LW-17215,21,7,5420.514,1,0
MA-17560,64,11,4299.161,0,0
MA-17995,186,6,2453.284,0,1
MB-17305,48,10,1548.702,2,0
MB-18085,44,7,1428.231,2,0
MC-17275,76,8,2725.982,0,0
MC-17425,399,5,4432.138,0,1
MC-17575,27,8,1303.893,2,0
MC-17590,51,6,2426.067,0,0
MC-17605,112,8,2258.192,0,1
MC-17635,189,4,795.154,2,1
MC-17845,1,7,3805.714,0,0
MC-18100,41,10,2218.98,0,0
MC-18130,369,5,1581.9979999999998,2,1
MD-17350,117,7,3766.382,0,1
MD-17860,36,5,1204.91,2,0
ME-17320,42,10,10663.728000000001,3,0
ME-17725,28,8,1908.4532,2,0
ME-18010,92,4,1256.944,2,1
MF-17665,421,5,937.039,2,1
MF-18250,7,5,1758.3,2,0
MG-17650,29,7,3785.276,0,0
MG-17680,92,4,2350.188,0,1
MG-17695,555,3,1342.282,2,1
MG-17875,116,5,1242.8329999999999,2,1
MG-17890,99,9,776.384,2,1
MG-18145,84,4,3061.543,0,0
MG-18205,264,1,16.739,2,1
MH-17290,119,6,2394.025,0,1
MH-17440,376,4,400.016,2,1
MH-17455,85,8,2456.1820000000002,0,0
MH-17620,155,4,1252.8,2,1
MH-17785,98,7,2203.7780000000002,0,1
MH-18025,49,5,2984.948,0,0
MH-18115,5,9,5503.093,1,0
MJ-17740,22,7,6320.746,1,0
MK-17905,28,8,2302.368,0,0
MK-18160,240,4,1031.602,2,1
ML-17395,69,9,2722.843,0,0
ML-17410,54,6,2921.5,0,0
ML-17755,29,7,2071.9139999999998,2,0
ML-18040,79,3,742.082,2,0
ML-18265,100,2,162.232,2,1
MM-17260,168,4,1314.023,2,1
MM-17920,7,11,3794.0800000000004,0,0
MM-18055,61,8,2749.881,0,0
MM-18280,85,9,775.414,2,0
MN-17935,34,6,2477.946,0,0
MO-17500,72,4,922.487,2,0
MO-17800,104,8,1687.0269999999998,2,1
MO-17950,180,2,154.288,2,1
MP-17470,719,7,3206.132,0,1
MP-17965,72,9,3983.6420000000003,0,0
MP-18175,16,9,5087.92,1,0
MR-17545,125,4,639.178,2,1
MS-17365,273,10,7443.6900000000005,1,1
MS-17530,434,4,475.65599999999995,2,1
MS-17710,413,6,1613.402,2,1
MS-17770,121,9,3144.678,0,1
MS-17830,452,4,370.348,2,1
MS-17980,26,6,855.116,2,0
MT-17815,49,6,2890.139,0,0
MT-18070,203,4,1319.4498,2,1
MV-17485,27,9,1560.05,2,0
MV-18190,19,7,1734.574,2,0
MW-18220,17,7,5341.900000000001,1,0
MW-18235,44,2,5253.876,1,0
MY-17380,29,7,2254.285,0,0
MY-18295,71,11,4152.696,0,0
MZ-17335,30,4,593.606,2,0
MZ-17515,282,6,2564.906,0,1
NB-18580,1165,2,273.87199999999996,2,1
NB-18655,19,9,1972.599,2,0
NC-18340,224,5,2461.404,0,1
NC-18415,41,6,2218.9900000000002,0,0
NC-18535,6,7,8241.739,1,0
NC-18625,204,5,1821.742,2,1
ND-18370,27,9,4326.139,0,0
ND-18460,183,6,2893.455,0,1
NF-18385,79,7,8322.826,1,0
NF-18475,525,4,377.16200000000003,2,1
NF-18595,114,7,2031.472,2,1
NG-18355,48,5,1869.58,2,0
NG-18430,48,5,1395.9379999999999,2,0
NH-18610,189,7,2673.29,0,1
NK-18490,70,7,572.048,2,0
NL-18310,58,4,1418.0900000000001,2,0
NM-18445,160,7,6459.344,1,1
NM-18520,244,10,2161.979,0,1
NP-18325,25,6,5529.62,1,0
NP-18670,58,5,3908.402,0,0
NP-18685,406,6,1228.698,2,1
NP-18700,138,7,7903.1825,1,1
NR-18550,210,5,2367.277,0,1
NS-18505,6,4,2575.863,0,0
NS-18640,174,13,2964.823,0,1
NW-18400,172,7,7234.014,1,1
NZ-18565,85,9,2488.31,0,0
ON-18715,410,9,1567.52,2,1
OT-18730,65,5,3818.624,0,0
PA-19060,103,6,729.408,2,1
PB-18805,25,3,740.356,2,0
PB-19105,57,4,688.324,2,0
PB-19150,97,8,1456.95,2,1
PB-19210,688,2,132.738,2,1
PC-18745,2,4,1832.064,2,0
PC-19000,882,2,1061.488,2,1
PF-19120,835,4,9062.864,1,1
PF-19165,196,6,2770.0,0,1
PF-19225,114,5,2206.1279999999997,0,1
PG-18820,36,13,3086.907,0,0
PG-18895,57,9,1987.164,2,0
PH-18790,70,1,729.648,2,0
PJ-18835,39,8,1220.09,2,0
PJ-19015,134,7,1824.2340000000002,2,1
PK-18910,483,2,1441.152,2,1
PK-19075,9,12,8646.934,1,0
PL-18925,15,5,239.481,2,0
PM-18940,386,3,1405.402,2,1
PM-19135,51,4,4115.662,0,0
PN-18775,30,8,1467.152,2,0
PO-18850,4,11,7473.8282,1,0
PO-18865,0,7,2493.214,0,0
PO-19180,160,9,4893.043,1,1
PO-19195,86,5,1056.858,2,0
PP-18955,97,10,7252.608,1,1
PR-18880,36,5,1840.178,2,0
PS-18760,107,6,2181.479,0,1
PS-18970,69,8,1278.639,2,0
PS-19045,236,7,6843.634,1,1
PT-19090,71,4,160.572,2,0
PV-18985,89,5,2876.046,0,0
PW-19030,46,10,3454.916,0,0
PW-19240,464,7,3922.4150000000004,0,1
QJ-19255,25,9,6108.338,1,0
RA-19285,5,9,2617.906,0,0
RA-19885,43,7,3832.314,0,0
RA-19915,12,9,4793.543,0,0
RA-19945,61,5,1686.9225,2,0
RB-19330,68,2,1008.1959999999999,2,0
RB-19360,96,6,15117.339,3,1
RB-19435,19,8,2663.0860000000002,0,0
RB-19465,9,12,4715.466,0,0
RB-19570,25,5,528.546,2,0
RB-19645,648,5,221.084,2,1
RB-19705,54,4,2067.45,2,0
RB-19795,32,8,5633.316000000001,1,0
RC-19825,369,6,966.409,2,1
RC-19960,110,6,885.752,2,1
RD-19480,72,8,4272.93,0,0
RD-19585,180,10,2912.8940000000002,0,1
RD-19660,114,5,2786.632,0,1
RD-19720,21,10,1419.737,2,0
RD-19810,14,8,1137.616,2,0
RD-19900,114,9,3133.924,0,1
RD-19930,42,4,970.9420000000001,2,0
RE-19405,1097,1,48.36,2,1
RE-19450,302,5,876.696,2,1
RF-19345,390,8,3309.15,0,1
RF-19735,89,7,2341.2960000000003,0,0
RF-19840,6,8,945.222,2,0
RH-19495,32,5,3621.3759999999997,0,0
RH-19510,467,6,6979.18,1,1
RH-19555,519,2,740.382,2,1
RH-19600,534,3,2085.7400000000002,2,1
RK-19300,119,3,1460.192,2,1
RL-19615,121,8,6234.91,1,1
RM-19375,345,6,1453.474,2,1
RM-19675,6,5,5979.0960000000005,1,0
RM-19750,299,1,98.35,2,1
RO-19780,35,7,3815.478,0,0
RP-19270,496,4,954.6452,2,1
RP-19390,33,12,5153.084,1,0
RP-19855,28,8,2170.716,0,0
RR-19315,19,2,615.932,2,0
RR-19525,170,6,3302.2619999999997,0,1
RS-19420,76,5,3221.29,0,0
RS-19765,36,8,4159.7699999999995,0,0
RS-19870,19,2,22.328,2,0
RW-19540,120,7,7397.401,1,1
RW-19630,89,9,3279.746,0,0
RW-19690,79,5,3495.646,0,0
SA-20830,63,10,4767.3415,0,0
SB-20170,201,3,1348.02,2,1
SB-20185,188,6,6410.996,1,1
SB-20290,47,7,8057.891,1,0
SC-20020,781,5,3362.9636,0,1
SC-20050,40,9,4624.572,0,0
SC-20095,349,9,14142.333999999999,3,1
SC-20230,149,4,4371.9580000000005,0,1
SC-20260,187,8,3729.7929999999997,0,1
SC-20305,29,7,3979.065,0,0
SC-20380,30,9,5992.536,1,0
SC-20440,36,7,1874.998,2,0
SC-20575,92,5,902.7280000000001,2,1
SC-20680,126,6,1254.64,2,1
SC-20695,89,10,2576.408,0,0
SC-20725,187,11,5226.21,1,1
SC-20770,41,7,4492.657,0,0
SC-20800,30,4,279.25600000000003,2,0
SC-20845,131,2,280.632,2,1
SD-20485,200,9,6121.114,1,1
SE-20110,9,11,12209.438000000002,3,0
SF-20065,59,7,763.5459999999999,2,0
SF-20200,59,9,3422.7859999999996,0,0
SF-20965,48,9,3336.535,0,0
SG-20080,8,3,3406.5809999999997,0,0
SG-20470,183,8,1884.798,2,1
SG-20605,108,6,3124.832,0,1
SG-20890,226,3,47.946,2,1
SH-19975,29,13,3406.8395,0,0
SH-20395,23,10,2180.718,0,0
SH-20635,765,2,2096.392,2,1
SJ-20125,95,12,3949.656,0,1
SJ-20215,29,6,1341.036,2,0
SJ-20500,253,5,1318.776,2,1
SK-19990,8,3,883.409,2,0
SL-20155,70,7,3053.012,0,0
SM-20005,421,4,244.49399999999997,2,1
SM-20320,79,5,25043.05,3,0
SM-20905,606,1,1043.041,2,1
SM-20950,25,12,5563.392,1,0
SN-20560,111,6,1860.418,2,1
SN-20710,79,7,3127.9592,0,0
SO-20335,29,6,2602.5755,0,0
SP-20545,327,6,1306.086,2,1
SP-20620,47,9,5440.319,1,0
SP-20650,386,9,1872.4360000000001,2,1
SP-20860,79,10,4282.94,0,0
SP-20920,70,6,3990.689,0,0
SR-20425,8,5,3233.481,0,0
SR-20740,196,8,4345.8859999999995,0,1
